timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-03-17T1600,3477A,113.1656,35.2536,焦作市,中站许衡医院,细颗粒物(PM2.5),132,113,97,95,72,63,63,71,71,29,22,8,8,0.9,0.8
2026-03-17T1600,3981A,113.2456,35.18,焦作市,原李万街道办,细颗粒物(PM2.5),142,113,117,106,87,71,71,57,57,16,19,10,9,0.7,0.8
2026-03-17T1600,4264A,113.234,35.219,焦作市,新安路1731号,细颗粒物(PM2.5),140,121,109,103,84,73,73,72,72,24,23,8,8,0.7,0.7
2026-03-17T1600,4295A,113.2722,35.2121,焦作市,人民路3066号,NA,NA,NA,111,NA,89,74,74,66,66,26,22,NA,7,0.7,0.7
2026-03-17T1600,1708A,116.3701,23.5345,揭阳市,新兴,,38,38,42,13,21,114,114,96,96,10,19,9,10,0.5,0.6
2026-03-17T1600,1709A,116.3261,23.5442,揭阳市,西马,,37,33,45,12,21,116,116,98,98,8,17,5,8,0.3,0.4
2026-03-17T1600,1710A,116.361,23.5627,揭阳市,东兴,,39,39,45,13,23,119,119,103,103,4,12,5,8,/,/
2026-03-17T1600,1711A,116.4151,23.5295,揭阳市,渔湖,颗粒物(PM10),61,65,43,15,22,141,141,118,118,13,17,6,6,/,/
2026-03-17T1600,3320A,116.4028,23.5699,揭阳市,曲溪,NA,NA,30,44,11,22,NA,NA,114,114,11,17,6,10,0.6,0.7
2026-03-17T1600,1944A,102.1691,38.5166,金昌市,天庆家园,NA,NA,97,83,15,22,103,103,98,94,NA,3,6,4,0.5,0.5
2026-03-17T1600,4022A,102.1648,38.5369,金昌市,金川区人防中心,颗粒物(PM10),84,97,87,12,24,99,99,94,94,2,3,6,6,0.4,0.5
2026-03-17T1600,4239A,102.193042,38.531887,金昌市,长春路96号,颗粒物(PM10),72,80,80,13,22,94,94,91,90,3,3,5,5,0.4,0.3
2026-03-17T1600,1262A,119.6478,29.0773,金华市,十五中,,41,38,62,18,37,131,131,108,108,13,21,5,5,0.5,0.1
2026-03-17T1600,1263A,119.6859,29.1032,金华市,监测站,,41,35,63,21,36,129,129,97,97,22,37,5,4,0.5,0.5
2026-03-17T1600,3659A,119.656,29.1132,金华市,气象局,,40,36,59,18,36,128,128,92,92,22,36,4,4,0.3,0.4
2026-03-17T1600,1767A,121.1114,41.0879,锦州市,南山,细颗粒物(PM2.5),135,NA,84,98,78,100,100,90,90,30,57,13,15,0.9,0.8
2026-03-17T1600,1768A,121.060361,40.842794,锦州市,开发区,细颗粒物(PM2.5),137,126,112,100,69,84,84,72,72,36,70,11,17,1.1,0.9
2026-03-17T1600,1769A,121.1836,41.1118,锦州市,百股街道,细颗粒物(PM2.5),140,NA,85,104,84,105,105,94,94,28,50,10,12,1.0,1
2026-03-17T1600,1770A,121.1176,41.1224,锦州市,天安街道,细颗粒物(PM2.5),139,106,89,102,81,104,104,90,90,30,56,12,14,1.0,0.9
2026-03-17T1600,1771A,121.1303,41.1385,锦州市,北湖公园,细颗粒物(PM2.5),137,100,82,100,78,112,112,96,96,27,51,12,14,0.8,0.8
2026-03-17T1600,2160A,112.8496,35.5051,晋城市,自来水公司,颗粒物(PM10),65,70,90,42,46,61,61,67,67,24,17,3,4,0.7,0.5
2026-03-17T1600,2162A,112.8509,35.4886,晋城市,市环保局,颗粒物(PM10),67,73,82,40,52,68,68,70,70,17,14,4,4,0.8,0.6
2026-03-17T1600,3620A,112.8258,35.4804,晋城市,泽州一中,细颗粒物(PM2.5),120,NA,81,81,51,72,72,72,69,19,15,3,4,0.9,0.7
2026-03-17T1600,4078A,112.8246,35.5152,晋城市,前书院路,颗粒物(PM10),61,65,89,40,50,63,63,60,59,24,18,4,4,0.8,0.6
2026-03-17T1600,4079A,112.8864,35.4773,晋城市,祥云街666号,细颗粒物(PM2.5),64,58,76,42,55,74,74,67,67,21,18,4,4,0.6,0.5
2026-03-17T1600,2174A,112.6992,37.6984,晋中市,榆次区政府,颗粒物(PM10),53,53,105,28,67,100,100,78,78,9,26,7,11,0.3,0.8
2026-03-17T1600,2865A,112.7195,37.683,晋中市,榆次三中,颗粒物(PM10),60,63,109,14,56,102,102,72,72,7,26,8,11,0.1,0.6
2026-03-17T1600,4080A,112.7375,37.7215,晋中市,广安街188号,颗粒物(PM10),58,60,116,16,59,105,105,72,72,7,28,10,12,0.1,0.6
2026-03-17T1600,4200A,112.7478,37.6954,晋中市,迎宾街26号,细颗粒物(PM2.5),70,63,104,45,64,99,99,73,73,12,24,8,11,0.4,0.8
2026-03-17T1600,2439A,112.2012,31.048,荆门市,竹园小学,,35,31,57,24,36,60,60,50,50,16,20,1,1,0.6,0.6
2026-03-17T1600,2440A,112.1968,30.9892,荆门市,掇刀,,42,NA,57,29,41,76,76,66,62,12,15,6,7,0.8,0.7
2026-03-17T1600,3012A,112.1849,31.0361,荆门市,西山林语,,29,29,52,19,32,65,65,57,56,12,15,3,3,0.8,0.8
2026-03-17T1600,3547A,112.1631,31.0134,荆门市,龙泉中学南校,,29,24,57,20,44,76,76,61,60,14,14,3,3,0.7,0.8
2026-03-17T1600,4124A,112.2213,31.0654,荆门市,新台西路6号,NA,NA,39,50,30,39,60,60,48,48,NA,18,4,5,0.7,0.6
2026-03-17T1600,1844A,112.2493,30.3198,荆州市,市图书馆,,23,16,32,16,30,41,41,40,38,22,20,4,5,1.0,0.9
2026-03-17T1600,1845A,112.2009,30.3543,荆州市,市委党校,,26,26,43,15,40,42,42,36,36,23,25,6,6,0.8,0.8
2026-03-17T1600,3194A,112.2749,30.3124,荆州市,管委会,,22,16,32,15,33,40,40,38,38,16,15,8,8,1.0,1
