timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-05-14T0700,3674A,115.9578,39.7602,北京市,房山燕山,细颗粒物(PM2.5),141,142,110,105,66,47,47,NA,NA,31,18,5,5,0.9,0.7
2026-05-14T0700,3675A,116.4669,39.7734,北京市,大兴旧宫,细颗粒物(PM2.5),90,89,142,55,70,84,84,NA,NA,16,22,2,2,1.0,0.9
2026-05-14T0700,3694A,115.9859,40.4562,北京市,延庆石河营,细颗粒物(PM2.5),127,127,106,89,69,86,86,NA,NA,16,23,2,2,0.9,0.7
2026-05-14T0700,3695A,116.6151,40.3052,北京市,怀柔新城,细颗粒物(PM2.5),112,104,102,73,70,110,110,NA,NA,14,14,7,6,1.3,1
2026-05-14T0700,3696A,116.2542,39.8764,北京市,丰台小屯,细颗粒物(PM2.5),122,116,109,84,68,69,69,NA,NA,16,16,3,4,1.2,0.7
2026-05-14T0700,3697A,116.8399,40.3843,北京市,密云镇,细颗粒物(PM2.5),121,119,102,83,63,89,89,NA,NA,17,26,5,4,1.3,0.8
2026-05-14T0700,4057A,115.9423,40.4431,北京市,延庆百泉,细颗粒物(PM2.5),150,156,105,115,65,67,67,NA,NA,35,16,1,2,1.0,0.8
2026-05-14T0700,4058A,116.6598,39.9164,北京市,通州新华,细颗粒物(PM2.5),82,80,117,51,69,81,81,NA,NA,10,14,6,5,0.9,0.9
2026-05-14T0700,4182A,116.1942,39.9158,北京市,石景山八角,细颗粒物(PM2.5),131,97,95,94,70,62,62,NA,NA,21,26,6,8,1.3,0.8
2026-05-14T0700,4194A,117.078628,40.151726,北京市,平谷新城,细颗粒物(PM2.5),125,127,113,87,71,71,71,NA,NA,23,12,5,5,1.4,1.1
2026-05-14T0700,1761A,123.8274146,41.31234549,本溪市,大峪,,29,29,36,14,18,79,79,NA,NA,10,11,6,6,0.5,0.5
2026-05-14T0700,1763A,123.7169,41.3094,本溪市,彩屯,,35,31,36,16,20,111,111,NA,NA,22,23,14,16,2.4,2.4
2026-05-14T0700,1764A,123.7672166,41.28649327,本溪市,东明,,37,31,41,9,16,116,116,NA,NA,15,12,7,7,0.6,0.6
2026-05-14T0700,1765A,123.799345,41.266614,本溪市,新立屯,,40,15,32,7,13,128,128,NA,NA,5,5,7,8,0.4,0.5
