时间,鸿旺,欧伦
2026-04-30 00:00:00,0.0,0.0
2026-04-30 00:15:00,0.0,0.0
2026-04-30 00:30:00,0.0,0.0
2026-04-30 00:45:00,0.0,0.0
2026-04-30 01:00:00,0.0,0.0
2026-04-30 01:15:00,0.0,0.0
2026-04-30 01:30:00,0.0,0.0
2026-04-30 01:45:00,0.0,0.0
2026-04-30 02:00:00,0.0,0.0
2026-04-30 02:15:00,0.0,0.0
2026-04-30 02:30:00,0.0,0.0
2026-04-30 02:45:00,0.0,0.0
2026-04-30 03:00:00,0.0,0.0
2026-04-30 03:15:00,0.0,0.0
2026-04-30 03:30:00,0.0,0.0
2026-04-30 03:45:00,0.0,0.0
2026-04-30 04:00:00,0.0,0.0
2026-04-30 04:15:00,0.0,0.0
2026-04-30 04:30:00,0.0,0.0
2026-04-30 04:45:00,0.0,0.0
2026-04-30 05:00:00,0.00039,0.00019
2026-04-30 05:15:00,0.00193,0.00165
2026-04-30 05:30:00,0.01312,0.01457
2026-04-30 05:45:00,0.04116,0.04437
2026-04-30 06:00:00,0.07758,0.08494
2026-04-30 06:15:00,0.12873,0.13996
2026-04-30 06:30:00,0.18723,0.20615
2026-04-30 06:45:00,0.26985,0.28319
2026-04-30 07:00:00,0.35514,0.3776
2026-04-30 07:15:00,0.44339,0.46137
2026-04-30 07:30:00,0.54085,0.53694
2026-04-30 07:45:00,0.58875,0.62096
2026-04-30 08:00:00,0.69735,0.70549
2026-04-30 08:15:00,0.77651,0.78454
2026-04-30 08:30:00,0.85082,0.86497
2026-04-30 08:45:00,0.93857,0.93817
2026-04-30 09:00:00,0.8307,0.92821
2026-04-30 09:15:00,0.97779,0.65422
2026-04-30 09:30:00,1.05088,0.95653
2026-04-30 09:45:00,1.0473,1.23495
2026-04-30 10:00:00,0.95157,1.07584
2026-04-30 10:15:00,1.18271,1.03726
2026-04-30 10:30:00,1.16683,1.12439
2026-04-30 10:45:00,1.12371,1.25441
2026-04-30 11:00:00,1.18132,1.02592
2026-04-30 11:15:00,1.25639,1.03681
2026-04-30 11:30:00,1.24671,1.26989
2026-04-30 11:45:00,1.24691,1.23275
2026-04-30 12:00:00,1.16846,1.07388
2026-04-30 12:15:00,1.23867,1.14582
2026-04-30 12:30:00,1.21515,1.23422
2026-04-30 12:45:00,1.23948,1.2115
2026-04-30 13:00:00,1.18879,1.18401
2026-04-30 13:15:00,1.15046,1.13463
2026-04-30 13:30:00,1.09876,1.11701
2026-04-30 13:45:00,1.08345,1.05531
2026-04-30 14:00:00,1.0438,1.03409
2026-04-30 14:15:00,0.97109,0.94439
2026-04-30 14:30:00,0.96569,0.94706
2026-04-30 14:45:00,0.89,0.87344
2026-04-30 15:00:00,0.82143,0.82243
2026-04-30 15:15:00,0.77048,0.77334
2026-04-30 15:30:00,0.70679,0.69287
2026-04-30 15:45:00,0.62297,0.6238
2026-04-30 16:00:00,0.56141,0.56334
2026-04-30 16:15:00,0.48005,0.47911
2026-04-30 16:30:00,0.39203,0.39706
2026-04-30 16:45:00,0.30137,0.31669
2026-04-30 17:00:00,0.23412,0.24149
2026-04-30 17:15:00,0.16642,0.17771
2026-04-30 17:30:00,0.11219,0.1187
2026-04-30 17:45:00,0.06992,0.07783
2026-04-30 18:00:00,0.04371,0.052
2026-04-30 18:15:00,0.02402,0.02948
2026-04-30 18:30:00,0.0076,0.01027
2026-04-30 18:45:00,0.00073,0.00054
2026-04-30 19:00:00,0.00022,0.0003
2026-04-30 19:15:00,0.0002,0.0003
2026-04-30 19:30:00,0.00015,0.0
2026-04-30 19:45:00,0.0001,0.0
2026-04-30 20:00:00,5e-05,0.0
2026-04-30 20:15:00,0.0,0.0
2026-04-30 20:30:00,0.0,0.0
2026-04-30 20:45:00,0.0,0.0
2026-04-30 21:00:00,0.0,0.0
2026-04-30 21:15:00,0.0,0.0
2026-04-30 21:30:00,0.0,0.0
2026-04-30 21:45:00,0.0,0.0
2026-04-30 22:00:00,0.0,0.0
2026-04-30 22:15:00,0.0,0.0
2026-04-30 22:30:00,0.0,0.0
2026-04-30 22:45:00,0.0,0.0
2026-04-30 23:00:00,0.0,0.0
2026-04-30 23:15:00,0.0,0.0
2026-04-30 23:30:00,0.0,0.0
2026-04-30 23:45:00,0.0,0.0
