site,city,AQI,SO₂,NO₂,O₃,PM₁₀,PM₂.₅,CO,O₃-8h,PM₁₀-24h,PM₂.₅-24h,time
遂昌中学,丽水市,59,4,14,83,62,37,0.5,123,53,30,2026-04-28 22:00:00
景宁县政府,丽水市,39,4,8,112,39,22,0.5,131,38,22,2026-04-28 22:00:00
红星小学,丽水市,45,5,8,105,45,25,0.4,124,42,23,2026-04-28 22:00:00
云和三中,丽水市,49,6,17,112,49,21,0.4,133,54,29,2026-04-28 22:00:00
龙泉环保大楼,丽水市,44,8,7,130,44,24,0.4,97,52,29,2026-04-28 22:00:00
缙云中学,丽水市,54,8,19,114,55,30,0.5,120,62,37,2026-04-28 22:00:00
信访大楼,丽水市,55,8,19,117,57,27,0.6,132,71,35,2026-04-28 22:00:00
和平水厂,丽水市,55,6,17,90,57,34,0.5,112,52,30,2026-04-28 22:00:00
遂昌民政局,丽水市,62,4,11,94,62,41,0.5,133,51,30,2026-04-28 22:00:00
庆元气象局,丽水市,47,7,10,130,47,25,0.7,117,42,27,2026-04-28 22:00:00
青田中学,丽水市,70,4,8,134,77,42,0.5,124,61,31,2026-04-28 22:00:00
庆元监测楼,丽水市,40,9,7,126,35,22,0.6,102,41,27,2026-04-28 22:00:00
塔山小学,丽水市,74,5,10,125,83,39,0.4,124,65,30,2026-04-28 22:00:00
粮食大楼,丽水市,90,9,8,123,106,26,0.4,95,--,27,2026-04-28 22:00:00
云和监测楼,丽水市,37,6,11,117,37,20,0.4,131,36,22,2026-04-28 22:00:00
松阳监测楼,丽水市,63,5,23,90,67,36,0.6,115,53,28,2026-04-28 22:00:00
楚门中心小学,台州市,41,5,14,131,39,19,0.6,148,52,26,2026-04-28 22:00:00
温岭环监站,台州市,47,6,11,108,47,22,0.4,127,50,32,2026-04-28 22:00:00
临海环保大楼,台州市,41,7,14,116,41,19,0.4,146,54,27,2026-04-28 22:00:00
玉环环监站,台州市,42,9,6,134,41,20,0.5,151,44,26,2026-04-28 22:00:00
天台实验中学,台州市,34,7,14,107,33,19,0.5,146,54,30,2026-04-28 22:00:00
育青中学,台州市,35,7,15,109,34,22,0.4,146,55,31,2026-04-28 22:00:00
心湖站,台州市,42,8,14,99,42,19,0.4,142,56,31,2026-04-28 22:00:00
之江高级中学,台州市,40,4,5,125,36,21,0.5,150,48,25,2026-04-28 22:00:00
三门环监楼,台州市,38,8,14,94,38,18,0.5,130,55,34,2026-04-28 22:00:00
新生中学,台州市,65,7,13,124,70,37,0.5,144,51,29,2026-04-28 22:00:00
巾山实验小学,台州市,52,5,14,118,52,26,0.4,151,65,35,2026-04-28 22:00:00
仙居环监站,台州市,58,10,12,107,61,33,0.4,133,59,33,2026-04-28 22:00:00
陆家桥村,嘉兴市,28,8,15,84,28,19,0.5,82,52,27,2026-04-28 22:00:00
硖石街道,嘉兴市,26,7,8,79,26,15,0.5,75,52,28,2026-04-28 22:00:00
嘉善监测大楼,嘉兴市,41,4,25,75,41,27,0.3,74,57,30,2026-04-28 22:00:00
气象观测台,嘉兴市,41,9,19,78,41,26,0.4,78,50,29,2026-04-28 22:00:00
振东新六中站,嘉兴市,36,4,22,90,36,25,0.6,86,62,34,2026-04-28 22:00:00
茅盾小学,嘉兴市,26,4,25,78,26,18,0.4,79,52,29,2026-04-28 22:00:00
海盐商贸学校,嘉兴市,35,4,22,80,35,23,0.3,88,49,27,2026-04-28 22:00:00
平湖幼儿园,嘉兴市,35,8,18,75,33,24,0.4,82,49,27,2026-04-28 22:00:00
高级中学,嘉兴市,41,7,21,86,41,24,0.4,88,52,25,2026-04-28 22:00:00
植材小学,嘉兴市,27,8,10,84,25,16,0.6,79,55,27,2026-04-28 22:00:00
胜利社区,嘉兴市,31,6,13,78,31,20,0.4,74,58,30,2026-04-28 22:00:00
海宁监测大楼,嘉兴市,33,5,17,77,33,19,0.3,73,59,32,2026-04-28 22:00:00
文化中心,嘉兴市,30,9,9,74,30,21,0.7,71,54,29,2026-04-28 22:00:00
文峰小学,宁波市,31,8,16,95,31,14,0.5,132,50,27,2026-04-28 22:00:00
慈溪实验小学,宁波市,33,5,10,105,21,11,0.5,113,59,29,2026-04-28 22:00:00
姚江小学,宁波市,33,7,15,103,20,11,0.4,113,52,28,2026-04-28 22:00:00
龙山公园,宁波市,33,5,10,103,22,11,0.4,112,54,28,2026-04-28 22:00:00
钱湖水厂,宁波市,32,4,16,100,21,9,0.4,118,56,24,2026-04-28 22:00:00
大桥市场,宁波市,30,7,19,93,30,13,0.3,117,64,31,2026-04-28 22:00:00
石浦新港小学,宁波市,36,6,15,112,36,15,0.4,145,49,26,2026-04-28 22:00:00
慈溪环保大楼,宁波市,32,4,12,102,25,13,0.4,108,62,33,2026-04-28 22:00:00
宁海水利局,宁波市,48,9,23,96,48,22,0.4,140,62,33,2026-04-28 22:00:00
宁海城南站,宁波市,47,8,21,98,47,22,0.3,140,60,33,2026-04-28 22:00:00
奉化教育局,宁波市,34,9,17,93,34,16,0.3,120,70,31,2026-04-28 22:00:00
溪口政府大楼,宁波市,31,6,13,98,25,11,0.3,118,53,28,2026-04-28 22:00:00
老年活动中心,杭州市,--,--,3,102,5,3,0.3,104,34,20,2026-04-28 22:00:00
建德监测大楼,杭州市,22,7,11,70,18,12,0.5,85,50,29,2026-04-28 22:00:00
第二中学,杭州市,29,4,13,90,15,11,0.5,97,52,20,2026-04-28 22:00:00
海辰小学,杭州市,31,6,18,86,31,20,0.6,83,58,33,2026-04-28 22:00:00
桐庐江南,杭州市,32,5,19,79,32,17,0.6,90,61,32,2026-04-28 22:00:00
桐庐江北,杭州市,29,4,18,90,26,18,0.6,95,69,33,2026-04-28 22:00:00
淳安环保大楼,杭州市,29,9,4,92,3,3,0.5,94,37,22,2026-04-28 22:00:00
大峃,温州市,45,6,6,122,45,19,0.3,131,45,23,2026-04-28 22:00:00
