,O3,latitude,CO_level,SYWRW,NO2,PM10_color,O3_level,PM25_color,SO2,sitename,AQI,NO2_level,AQI_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,sitecode,AQI_color,districtname,O3_color,SO2_level,PM10,time
0,43,30.28,优,--,22,#00E400,优,#00E400,7,杭州市,23,优,优,330100,#00E400,120.15,#00E400,13,优,0.5,优,#00E400,330100,#00E400,杭州市,#00E400,优,23,2026-05-04 09:00:00
1,50,29.88,优,--,25,#00E400,优,#00E400,7,宁波市,32,优,优,330200,#00E400,121.55,#00E400,16,优,0.5,优,#00E400,330200,#00E400,宁波市,#00E400,优,32,2026-05-04 09:00:00
2,35,28,优,--,21,#00E400,优,#00E400,6,温州市,35,优,优,330300,#00E400,120.7,#00E400,24,优,0.6,优,#00E400,330300,#00E400,温州市,#00E400,优,34,2026-05-04 09:00:00
3,44,30.75,优,--,39,#00E400,优,#00E400,8,嘉兴市,30,优,优,330400,#00E400,120.75,#00E400,14,优,0.5,优,#00E400,330400,#00E400,嘉兴市,#00E400,优,30,2026-05-04 09:00:00
4,50,30.9,优,--,37,#00E400,优,#00E400,8,湖州市,39,优,优,330500,#00E400,120.08,#00E400,16,优,0.4,优,#00E400,330500,#00E400,湖州市,#00E400,优,39,2026-05-04 09:00:00
5,52,30,优,--,22,#00E400,优,#00E400,7,绍兴市,26,优,优,330600,#00E400,120.57,#00E400,14,优,0.4,优,#00E400,330600,#00E400,绍兴市,#00E400,优,26,2026-05-04 09:00:00
6,28,29.08,优,--,34,#00E400,优,#00E400,3,金华市,37,优,优,330700,#00E400,119.65,#00E400,19,优,0.5,优,#00E400,330700,#00E400,金华市,#00E400,优,37,2026-05-04 09:00:00
7,45,28.93,优,--,18,#00E400,优,#00E400,8,衢州市,33,优,优,330800,#00E400,118.87,#00E400,21,优,0.4,优,#00E400,330800,#00E400,衢州市,#00E400,优,33,2026-05-04 09:00:00
8,45,30,优,--,35,#00E400,优,#00E400,6,舟山市,25,优,优,330900,#00E400,122.2,#00E400,15,优,0.5,优,#00E400,330900,#00E400,舟山市,#00E400,优,25,2026-05-04 09:00:00
9,52,28.68,优,--,26,#00E400,优,#00E400,5,台州市,44,优,优,331000,#00E400,121.43,#00E400,25,优,0.6,优,#00E400,331000,#00E400,台州市,#00E400,优,44,2026-05-04 09:00:00
10,40,28.45,优,--,14,#00E400,优,#00E400,4,丽水市,25,优,优,331100,#00E400,119.92,#00E400,13,优,0.5,优,#00E400,331100,#00E400,丽水市,#00E400,优,25,2026-05-04 09:00:00
