,O3H8_level,regioncode,O3,latitude,CO_level,SYWRW,PM10H24,NO2,O3H8,O3_level,PM10_color,PM25_color,SO2,sitename,O3H8_color,AQI,NO2_level,AQI_level,PM10H24_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,PM25H24_color,sitecode,PM25H24_level,AQI_color,districtname,O3_color,SO2_level,PM10,PM25H24,PM10H24_color,sort,time
0,优,331126,46,27.629585,优,--,15,16,90,优,#00E400,#00E400,5,庆元监测楼,#00E400,16,优,优,优,331100,#00E400,119.054809,#00E400,5,优,0.6,优,#00E400,#00E400,331126001,优,#00E400,丽水市,#00E400,优,16,7,#00E400,1,2026-06-12 21:00:00
1,优,331127,53,28.002222,优,--,24,12,82,优,#00E400,#00E400,4,红星小学,#00E400,18,优,优,优,331100,#00E400,119.636389,#00E400,11,优,0.4,优,#00E400,#00E400,331127003,优,#00E400,丽水市,#00E400,优,18,10,#00E400,2,2026-06-12 21:00:00
2,优,330326,60,27.6593,优,--,31,10,91,优,#00E400,#00E400,9,平阳监测站,#00E400,19,优,优,优,330300,#00E400,120.5705,#00E400,6,优,0.4,优,#00E400,#00E400,330326001,优,#00E400,温州市,#00E400,优,17,20,#00E400,3,2026-06-12 21:00:00
3,良,330382,70,28.1209,优,--,28,12,102,优,#00E400,#00E400,3,乐成,#FFFF00,22,优,优,优,330300,#00E400,120.9659,#00E400,10,优,0.5,优,#00E400,#00E400,330382001,优,#00E400,温州市,#00E400,优,14,17,#00E400,4,2026-06-12 21:00:00
4,优,330727,68,29.051486,优,--,11,19,94,优,#00E400,#00E400,8,国税大楼,#00E400,22,优,优,优,330700,#00E400,120.438346,#00E400,8,优,0.4,优,#00E400,#00E400,330727002,优,#00E400,金华市,#00E400,优,20,11,#00E400,4,2026-06-12 21:00:00
5,优,331081,68,28.37558,优,--,24,9,81,优,#00E400,#00E400,7,温岭环监站,#00E400,22,优,优,优,331000,#00E400,121.36579,#00E400,13,优,0.5,优,#00E400,#00E400,331081001,优,#00E400,台州市,#00E400,优,17,15,#00E400,4,2026-06-12 21:00:00
6,优,331127,48,27.9772,优,--,17,20,82,优,#00E400,#00E400,5,景宁县政府,#00E400,22,优,优,优,331100,#00E400,119.6311,#00E400,13,优,0.4,优,#00E400,#00E400,331127002,优,#00E400,丽水市,#00E400,优,22,12,#00E400,4,2026-06-12 21:00:00
7,良,330381,76,27.791645,优,--,42,9,106,优,#00E400,#00E400,6,花园桥,#FFFF00,24,优,优,优,330300,#00E400,120.62372,#00E400,8,优,0.3,优,#00E400,#00E400,330381001,优,#00E400,温州市,#00E400,优,13,22,#00E400,8,2026-06-12 21:00:00
8,优,330327,74,27.503889,优,--,33,5,90,优,#00E400,#00E400,9,灵溪,#00E400,24,优,优,优,330300,#00E400,120.395278,#00E400,10,优,0.5,优,#00E400,#00E400,330327001,优,#00E400,温州市,#00E400,优,17,21,#00E400,8,2026-06-12 21:00:00
9,优,330922,74,30.7269,优,--,17,14,87,优,#00E400,#00E400,8,嵊泗菜园,#00E400,24,优,优,优,330900,#00E400,122.4464,#00E400,12,优,0.4,优,#00E400,#00E400,330922001,优,#00E400,舟山市,#00E400,优,23,8,#00E400,8,2026-06-12 21:00:00
10,良,331125,75,28.1173,优,--,20,11,114,优,#00E400,#00E400,7,云和监测楼,#FFFF00,24,优,优,优,331100,#00E400,119.5626,#00E400,12,优,0.4,优,#00E400,#00E400,331125001,优,#00E400,丽水市,#00E400,优,22,12,#00E400,8,2026-06-12 21:00:00
11,优,330305,80,27.8342,优,--,22,11,88,优,#00E400,#00E400,8,洞头气象局,#00E400,25,优,优,优,330300,#00E400,121.1502,#00E400,9,优,0.5,优,#00E400,#00E400,330305001,优,#00E400,温州市,#00E400,优,18,13,#00E400,12,2026-06-12 21:00:00
12,良,330381,80,27.782284,优,--,30,4,110,优,#00E400,#00E400,8,安阳新区,#FFFF00,25,优,优,优,330300,#00E400,120.650915,#00E400,9,优,0.4,优,#00E400,#00E400,330381002,优,#00E400,温州市,#00E400,优,8,28,#00E400,12,2026-06-12 21:00:00
13,良,330327,80,27.522222,优,--,38,10,108,优,#00E400,#00E400,8,苍南中学,#FFFF00,25,优,优,优,330300,#00E400,120.416111,#00E400,12,优,0.5,优,#00E400,#00E400,330327004,优,#00E400,温州市,#00E400,优,22,24,#00E400,12,2026-06-12 21:00:00
14,优,330383,80,27.5812,优,--,38,23,100,优,#00E400,#00E400,7,龙港,#00E400,25,优,优,优,330300,#00E400,120.5489,#00E400,11,优,0.5,优,#00E400,#00E400,330327002,优,#00E400,温州市,#00E400,优,20,24,#00E400,12,2026-06-12 21:00:00
15,优,330824,49,29.1343,优,--,31,13,91,优,#00E400,#00E400,6,开化气象局,#00E400,25,优,优,优,330800,#00E400,118.402,#00E400,13,优,0.3,优,#00E400,#00E400,330824001,优,#00E400,衢州市,#00E400,优,25,13,#00E400,12,2026-06-12 21:00:00
16,良,331024,80,28.8589,优,--,27,11,105,优,#00E400,#00E400,8,仙居环监站,#FFFF00,25,优,优,优,331000,#00E400,120.7248,#00E400,10,优,0.5,优,#00E400,#00E400,331024001,优,#00E400,台州市,#00E400,优,19,14,#00E400,12,2026-06-12 21:00:00
17,优,331024,67,28.7403,优,--,20,11,91,优,#00E400,#00E400,6,新生中学,#00E400,26,优,优,优,331000,#00E400,120.4728,#00E400,16,优,0.5,优,#00E400,#00E400,331024002,优,#00E400,台州市,#00E400,优,26,13,#00E400,18,2026-06-12 21:00:00
18,优,330382,85,28.0297,优,--,35,15,98,优,#00E400,#00E400,4,柳市,#00E400,27,优,优,优,330300,#00E400,120.891,#00E400,8,优,0.4,优,#00E400,#00E400,330382002,优,#00E400,温州市,#00E400,优,16,19,#00E400,19,2026-06-12 21:00:00
19,良,330326,86,27.6653,优,--,32,4,113,优,#00E400,#00E400,7,平阳县政府,#FFFF00,27,优,优,优,330300,#00E400,120.5611,#00E400,6,优,0.5,优,#00E400,#00E400,330326002,优,#00E400,温州市,#00E400,优,14,18,#00E400,19,2026-06-12 21:00:00
20,优,330329,78,27.557,优,--,19,12,98,优,#00E400,#00E400,5,罗阳,#00E400,27,优,优,优,330300,#00E400,119.7084,#00E400,15,优,0.4,优,#00E400,#00E400,330329001,优,#00E400,温州市,#00E400,优,27,11,#00E400,19,2026-06-12 21:00:00
21,优,330921,85,30.2669,优,--,19,23,84,优,#00E400,#00E400,5,岱山环保大楼,#00E400,27,优,优,优,330900,#00E400,122.2199,#00E400,14,优,0.5,优,#00E400,#00E400,330921001,优,#00E400,舟山市,#00E400,优,25,10,#00E400,19,2026-06-12 21:00:00
22,良,331023,85,29.1342,优,--,36,22,129,优,#00E400,#00E400,7,天台实验中学,#FFFF00,27,优,优,优,331000,#00E400,121.0349,#00E400,17,优,0.5,优,#00E400,#00E400,331023002,优,#00E400,台州市,#00E400,优,26,22,#00E400,19,2026-06-12 21:00:00
23,良,331022,80,29.1028,优,--,35,14,116,优,#00E400,#00E400,5,心湖站,#FFFF00,27,优,优,优,331000,#00E400,121.3918,#00E400,16,优,0.4,优,#00E400,#00E400,331022002,优,#00E400,台州市,#00E400,优,27,22,#00E400,19,2026-06-12 21:00:00
24,良,331126,71,27.6211,优,--,17,9,102,优,#00E400,#00E400,5,庆元气象局,#FFFF00,27,优,优,优,331100,#00E400,119.0788,#00E400,18,优,0.6,优,#00E400,#00E400,331126002,优,#00E400,丽水市,#00E400,优,27,11,#00E400,19,2026-06-12 21:00:00
25,良,330127,74,29.605,优,--,29,11,115,优,#00E400,#00E400,12,老年活动中心,#FFFF00,28,优,优,优,330100,#00E400,119.0372,#00E400,19,优,0.6,优,#00E400,#00E400,330127T_4,优,#00E400,杭州市,#00E400,优,28,20,#00E400,26,2026-06-12 21:00:00
26,优,330225,89,29.4767,优,--,22,7,97,优,#00E400,#00E400,8,文峰小学,#00E400,28,优,优,优,330200,#00E400,121.8864,#00E400,12,优,0.5,优,#00E400,#00E400,330225001,优,#00E400,宁波市,#00E400,优,23,12,#00E400,26,2026-06-12 21:00:00
